title,initial_price,final_price,rating,ratings_count,category,savings
Lino Perros,3995,,3.8,15,backpacks,
Tommy Hilfiger,2899,,4.5,67,backpacks,
Lavie,2999,,4.4,226,backpacks,
F Gear,1675,,4.4,1052,backpacks,
MYTRIDENT,2899,,4.7,12,bath-robe,
H&M,1399,,4.5,42,bathroom-accessories,
AVI Living,1399,,4.0,5,bath-towels,
My Room,2999,,4.7,10,bedsheets,
My Room,2999,,4.5,22,bedsheets,
Story@home,2199,,3.7,7,bedsheets,
MYTRIDENT,2199,,4.4,26,bedsheets,
Arrabi,3329,,0.0,0,bedsheets,
BELLA CASA,1499,,0.0,0,bedsheets,
ROMEE,3499,,3.9,10,bedsheets,
DDecor,1599,,3.6,15,bedsheets,
Home Ecstasy,1199,,4.5,6,bedsheets,
DREAM WEAVERZ,2599,,3.8,18,bedsheets,
Arrabi,6329,,4.3,12,bedsheets,
Kastner,1399,,3.8,9,belts,
Tommy Hilfiger,2999,,4.1,11,bodysuit,
Ed-a-Mamma Baby,999,,4.2,5,bodysuit,
Mactree,9060,,3.9,1727,boots,
London Rag,9599,,5.0,4,boots,
The Souled Store,799,,4.5,22,boxers,
Jockey,579,,4.4,1582,bra,
GROVERSONS Paris Beauty,399,,4.0,25,bra,
Susie,749,,4.3,12,bra,
Zivame,999,,4.3,118,bra,
Susie,699,,4.0,6,bra,
Tweens,720,,0.0,0,bra,
Marks & Spencer,2999,,4.3,24,bra,
max,449,,4.1,37,bra,
VStar,345,,4.6,5,bra,
VStar,345,,4.3,6,bra,
shyaway,2547,,4.3,6,bra,
max,649,,4.2,5,bra,
Zivame,995,,4.2,9,bra,
ZINU,699,,4.1,7,bracelet,
KARATCART,3397,,4.6,5,bracelet,
Jewels Galaxy,1329,,4.2,24,bracelet,
MINUTIAE,1499,,3.2,13,bracelet,
Pepe Jeans,459,,0.0,0,briefs,
Van Heusen,649,,4.6,192,briefs,
DressBerry,299,,4.1,14,briefs,
Soie,390,,4.9,14,briefs,
EROTISSCH,899,,0.0,0,briefs,
Chromozome,1199,,4.2,18,briefs,
ABELINO,1899,,3.6,14,briefs,
Zoiro,499,,5.0,6,briefs,
Zivame,799,,4.6,5,briefs,
bummer,599,,4.6,23,briefs,
XYXX,249,,4.1,202,briefs,
Bruchi CLUB,888,,5.0,4,briefs,
DressBerry,299,,3.7,14,camisoles,
VStar,265,,4.8,10,camisoles,
H&M,1299,,0.0,0,candle-holders,
Vastraa Fusion,1699,,3.5,13,caps,
Bharatasya,699,,4.3,7,caps,
Skechers,12999,,3.8,11,casual-shoes,
Bata,1199,,4.4,86,casual-shoes,
Prolific,2660,,3.9,8,casual-shoes,
U.S. Polo Assn.,4299,,4.1,16,casual-shoes,
HIGHLANDER,1898,,3.4,25,casual-shoes,
San Frissco,5995,,4.3,6,casual-shoes,
Eego Italy,2999,,0.0,0,casual-shoes,
MOZAFIA,1999,,4.0,225,casual-shoes,
Puma,4999,,4.1,111,casual-shoes,
HRX by Hrithik Roshan,3299,,3.9,107,casual-shoes,
WROGN,3599,,3.7,58,casual-shoes,
FAUSTO,999,,3.2,6,casual-shoes,
FAUSTO,1299,,2.5,4,casual-shoes,
TOMS,4999,,4.3,6,casual-shoes,
Fame Forever by Lifestyle,999,,0.0,0,casual-shoes,
HIGHLANDER,2198,,3.9,51,casual-shoes,
Clarks,6999,,4.6,31,casual-shoes,
EVERLY,1499,,3.7,79,casual-shoes,
Clarks,10999,,3.7,3,casual-shoes,
Delize,13999,,0.0,0,casual-shoes,
Buckaroo,4999,,0.0,0,casual-shoes,
Crew STREET,3099,,4.1,41,casual-shoes,
PUMA Motorsport,6999,,4.5,157,casual-shoes,
Cortina,2598,,4.7,15,chair-cover,
Cutiekins,1999,,4.1,454,clothing-set,
Nottie Planet,449,,4.5,13,clothing-set,
Rubans,1980,,4.1,25,clutches,
Ahalyaa,5000,,4.1,195,co-ords,
Home Sizzler,799,,4.3,48,curtains-and-sheers,
Homefab India,1199,,0.0,0,curtains-and-sheers,
ellementry,1750,,5.0,5,cutlery,
MIAH Decor,599,,3.2,6,dinnerware,
Curvy Clan,2999,,3.7,3,dresses,
Trendyol,4399,,4.1,10,dresses,
COVER STORY,3490,,4.8,24,dresses,
Trendyol,3599,,3.9,35,dresses,
RACHNA,1299,,3.0,4,dresses,
Label Ritu Kumar,5900,,0.0,0,dresses,
Harpa,1999,,2.3,4,dresses,
aarke Ritu Kumar,2200,,4.0,6,dresses,
Label Ritu Kumar,4500,,4.6,7,dresses,
aarke Ritu Kumar,3500,,4.0,6,dresses,
Tokyo Talkies,1599,,3.7,26,dresses,
Curves by MISH,3999,,0.0,0,dresses,
Sangria,2999,,0.0,0,dresses,
WoowZerz,2495,,4.8,26,dresses,
Vishudh,2049,,3.8,55,dresses,
Athena,2499,,4.0,34,dresses,
DressBerry,1499,,3.8,40,dresses,
Athena,2499,,4.3,236,dresses,
Berrylush,1899,,4.0,60,dresses,
Ethnovog,7828,,3.7,6,dresses,
DRAAX Fashions,2399,,3.6,8,dresses,
AURELIA,4299,,4.1,140,dresses,
Athena Girl,2299,,3.5,6,dresses,
Athena,2499,,4.2,35,dresses,
Berrylush,1899,,3.9,69,dresses,
Forevermore,1599,,4.2,5,dresses,
Amydus,2799,,4.7,43,dresses,
Athena,2799,,4.2,3797,dresses,
H&M,1999,,3.0,7,dresses,
U&F,1999,,3.8,1023,dresses,
Tokyo Talkies,1399,,4.2,347,dresses,
QUIERO,2686,,3.4,7,dresses,
QUIERO,2820,,4.1,474,dresses,
all about you,2999,,4.2,38,dresses,
RARE,1799,,3.4,23,dresses,
Style Quotient,1899,,3.9,12,dresses,
U&F,2899,,4.1,7,dresses,
Tokyo Talkies,1549,,4.1,13,dresses,
Style Quotient,1599,,4.8,8,dresses,
Tokyo Talkies,1749,,4.3,48,dresses,
Tokyo Talkies,1749,,4.1,240,dresses,
Tokyo Talkies,699,,4.1,333,dresses,
BUY NEW TREND,1499,,3.8,8,dresses,
Bella Moda,2017,,4.6,8,dresses,
8seconds,5099,,0.0,0,dresses,
Kazo,3690,,4.0,35,dresses,
Label Ritu Kumar,5200,,4.8,5,dresses,
Label Ritu Kumar,6900,,1.9,7,dresses,
SCORPIUS,1999,,0.0,0,dresses,
U&F,2899,,3.8,23,dresses,
Vastralay,2999,,4.2,17,dresses,
Veni Vidi Vici,1890,,4.3,110,dresses,
Veni Vidi Vici,1890,,4.2,389,dresses,
SASSAFRAS,2199,,4.5,4441,dresses,
U&F,2899,,3.3,8,dresses,
Athena,2499,,4.3,45,dresses,
Stylecast X Hersheinbox,2559,,4.5,11,dresses,
Style Quotient,1749,,3.9,46,dresses,
Berrylush,3200,,4.2,31,dresses,
aarke Ritu Kumar,2800,,4.0,6,dresses,
Tommy Hilfiger,5999,,4.4,9,dresses,
ONLY,3299,,4.6,5,dresses,
